﻿Name,Rating,Reviews Count,Phone,Address,Website,Category,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Status
Caf de l'Oise - Beauvais,1.0,,,"2 Rue Jules Ferry, 60012 Beauvais, Francia",https://caf.fr,Oficina de gobierno local,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,Closed,08:30 - 16:30,Closed,Closed,success
Café de l'Europe,4.0,,,"Graben 31, 1010 Wien, Austria",https://cafedeleurope.shop,Restaurante,07:00 - 00:00,07:00 - 00:00,07:00 - 00:00,07:00 - 00:00,07:00 - 00:00,07:00 - 00:00,07:00 - 00:00,success
Resultados,4.6,,,,,4.6,,,,,,,,success
Resultados,4.3,,,,,4.3,,,,,,,,success
Resultados,4.2,,,,,4.2,,,,,,,,success
ZURIGA Manufaktur,4.9,,,"Hohlstrasse 418, 8048 Zürich, Suiza",https://zuriga.com,Fábrica,,,,,,,,success
Resultados,4.5,,,,,4.5,,,,,,,,success
Resultados,3.7,,,,,3.7,,,,,,,,success
�se's Blomsterbutik,4.2,,,,,4.2,,,,,,,,success
Resultados,3.9,,,,,3.9,,,,,,,,success
